operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,totalTime,numNodes,tasksPerNode,parallelism,trMiB,storageType
write,0,64,1024,4,5.899,1,4,4,173.5888,tmpfs
write,0,64,1024,2,11.8591,1,2,2,86.3473,tmpfs
read,0,64,1024,4,5.1829,1,4,4,197.5723,tmpfs
read,0,64,1024,2,10.2439,1,2,2,99.9624,tmpfs
read,0,64,1024,4,5.0933,1,4,4,201.047,tmpfs
read,0,64,1024,32,0.7312,1,32,32,1400.4683,tmpfs
read,0,64,1024,32,0.7316,1,32,32,1399.6221,tmpfs
read,0,64,1024,32,0.7328,1,32,32,1397.2958,tmpfs
write,0,64,1024,2,11.8848,1,2,2,86.1605,tmpfs
read,0,64,1024,128,0.1821,1,128,128,5624.1805,tmpfs
write,0,64,1024,2,11.8143,1,2,2,86.6747,tmpfs
write,0,64,1024,4,5.8696,1,4,4,174.4577,tmpfs
write,0,64,1024,128,0.211,1,128,128,4854.0028,tmpfs
read,0,64,1024,32,0.7316,1,32,32,1399.6796,tmpfs
read,0,64,1024,2,10.2793,1,2,2,99.6174,tmpfs
write,0,64,1024,2,11.7387,1,2,2,87.2329,tmpfs
write,0,64,1024,32,0.8348,1,32,32,1226.6618,tmpfs
write,0,64,1024,32,0.8463,1,32,32,1209.9444,tmpfs
write,0,64,1024,32,0.8316,1,32,32,1231.2946,tmpfs
read,0,64,1024,4,5.1471,1,4,4,198.9473,tmpfs
read,0,64,1024,2,10.2491,1,2,2,99.911,tmpfs
write,0,64,1024,32,0.8372,1,32,32,1223.1642,tmpfs
write,0,64,1024,4,5.865,1,4,4,174.5952,tmpfs
write,0,64,1024,32,0.8201,1,32,32,1248.6085,tmpfs
write,0,64,1024,4,5.8472,1,4,4,175.1274,tmpfs
write,0,64,1024,2,11.699,1,2,2,87.5288,tmpfs
read,0,64,1024,2,10.2643,1,2,2,99.7631,tmpfs
read,0,64,1024,32,0.7317,1,32,32,1399.5305,tmpfs
write,0,64,1024,4,5.8875,1,4,4,173.929,tmpfs
read,0,64,1024,4,5.1059,1,4,4,200.5519,tmpfs
read,0,64,1024,2,10.0994,1,2,2,101.3919,tmpfs
read,0,64,1024,4,5.1602,1,4,4,198.4413,tmpfs
