operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
read,1,8191.930583199192,2421.8310403823853,300,300,0.805176407,[10],10,30,3007.8266319375466,pfs,309997,individuals,22428-dc108,columns.txt,1,initial_data
read,1,8191.930583199192,2421.8310403823853,300,300,0.805176407,[10],10,30,3007.8266319375466,pfs,309997,individuals,22428-dc108,ALL.chr4.250000.vcf,1,initial_data
write,0,14942.2,0.07124996185302734,300,300,6.6549e-05,[10],10,30,1070.6391058171773,pfs,5,individuals,22428-dc108,chr4n-1801-2001.tar.gz,1,final_data
read,1,18616.07299270073,2.432252883911133,10,10,0.000776961,[10],10,1,3130.46971972999,pfs,137,mutation_overlap,25670-dc107,sifted.SIFT.chr3.txt,1,sifting
read,0,18616.07299270073,2.432252883911133,10,10,0.000776961,[10],10,1,3130.46971972999,pfs,137,mutation_overlap,25670-dc107,EAS,1,initial_data
write,0,20994.916666666668,0.24026775360107422,10,10,0.000210696,[10],10,1,1140.352705324611,pfs,12,mutation_overlap,25670-dc107,chr3-EAS.tar.gz,1,final_data
read,1,18616.07299270073,2.432252883911133,10,10,0.000776961,[10],10,1,3130.46971972999,pfs,137,mutation_overlap,25670-dc107,chr3n.tar.gz,1,individuals_merge
read,1,15397.209150326797,2.246640205383301,10,10,0.000791689,[10],10,1,2837.781256760294,pfs,153,frequency,41199-dc105,sifted.SIFT.chr2.txt,1,sifting
read,0,15397.209150326797,2.246640205383301,10,10,0.000791689,[10],10,1,2837.781256760294,pfs,153,frequency,41199-dc105,SAS,1,initial_data
read,1,15397.209150326797,2.246640205383301,10,10,0.000791689,[10],10,1,2837.781256760294,pfs,153,frequency,41199-dc105,chr2n.tar.gz,1,individuals_merge
write,0,23359.555555555555,0.40099334716796875,10,10,0.00068835,[10],10,1,582.5428156722144,pfs,18,frequency,41199-dc105,chr2-SAS-freq.tar.gz,1,final_data
write,0,15874.0,0.07569313049316406,300,300,7.0859e-05,[10],10,30,1068.221827758846,pfs,5,individuals,36314-dc105,chr2n-2201-2401.tar.gz,1,final_data
read,1,8191.921474379654,2421.75803565979,300,300,0.824927116,[10],10,30,2935.723639929167,pfs,309988,individuals,36314-dc105,ALL.chr2.250000.vcf,1,initial_data
read,1,8191.921474379654,2421.75803565979,300,300,0.824927116,[10],10,30,2935.723639929167,pfs,309988,individuals,36314-dc105,columns.txt,1,initial_data
write,0,24371.3125,0.37187671661376953,10,10,0.000292229,[10],10,1,1272.5524044970537,pfs,16,frequency,26697-dc107,chr3-AMR-freq.tar.gz,1,final_data
read,1,18611.343065693432,2.4316349029541016,10,10,0.000715714,[10],10,1,3397.4952326684984,pfs,137,frequency,26697-dc107,sifted.SIFT.chr3.txt,1,sifting
read,1,18611.343065693432,2.4316349029541016,10,10,0.000715714,[10],10,1,3397.4952326684984,pfs,137,frequency,26697-dc107,chr3n.tar.gz,1,individuals_merge
read,0,18611.343065693432,2.4316349029541016,10,10,0.000715714,[10],10,1,3397.4952326684984,pfs,137,frequency,26697-dc107,AMR,1,initial_data
write,0,20138.60625,3.0729074478149414,10,10,0.002545963,[10],10,1,1206.9725474466602,pfs,160,frequency,41204-dc105,chr2-EUR-freq.tar.gz,1,final_data
read,0,15397.627450980392,2.246701240539551,10,10,0.000840744,[10],10,1,2672.2774596542477,pfs,153,frequency,41204-dc105,EUR,1,initial_data
read,1,15397.627450980392,2.246701240539551,10,10,0.000840744,[10],10,1,2672.2774596542477,pfs,153,frequency,41204-dc105,chr2n.tar.gz,1,individuals_merge
read,1,15397.627450980392,2.246701240539551,10,10,0.000840744,[10],10,1,2672.2774596542477,pfs,153,frequency,41204-dc105,sifted.SIFT.chr2.txt,1,sifting
write,0,13911.0,0.06633281707763672,300,300,5.9309e-05,[10],10,30,1118.427508095512,pfs,5,individuals,36387-dc105,chr2n-1201-1401.tar.gz,1,final_data
read,1,8191.921474379654,2421.75803565979,300,300,0.810165675,[10],10,30,2989.2133305447555,pfs,309988,individuals,36387-dc105,columns.txt,1,initial_data
read,1,8191.921474379654,2421.75803565979,300,300,0.810165675,[10],10,30,2989.2133305447555,pfs,309988,individuals,36387-dc105,ALL.chr2.250000.vcf,1,initial_data
read,0,18784.715328467155,2.454286575317383,10,10,0.000809368,[10],10,1,3032.3494075839208,pfs,137,frequency,26686-dc107,ALL,1,initial_data
read,1,18784.715328467155,2.454286575317383,10,10,0.000809368,[10],10,1,3032.3494075839208,pfs,137,frequency,26686-dc107,sifted.SIFT.chr3.txt,1,sifting
read,1,18784.715328467155,2.454286575317383,10,10,0.000809368,[10],10,1,3032.3494075839208,pfs,137,frequency,26686-dc107,chr3n.tar.gz,1,individuals_merge
write,0,23339.277777777777,0.40064525604248047,10,10,0.000414546,[10],10,1,966.4675477328944,pfs,18,frequency,26686-dc107,chr3-ALL-freq.tar.gz,1,final_data
read,0,13236.438053097345,2.8528547286987305,10,10,0.000943996,[10],10,1,3022.104679149838,pfs,226,mutation_overlap,40767-dc104,SAS,1,initial_data
write,0,20813.29411764706,0.3374347686767578,10,10,0.000308997,[10],10,1,1092.032507360129,pfs,17,mutation_overlap,40767-dc104,chr1-SAS.tar.gz,1,final_data
read,1,13236.438053097345,2.8528547286987305,10,10,0.000943996,[10],10,1,3022.104679149838,pfs,226,mutation_overlap,40767-dc104,sifted.SIFT.chr1.txt,1,sifting
read,1,13236.438053097345,2.8528547286987305,10,10,0.000943996,[10],10,1,3022.104679149838,pfs,226,mutation_overlap,40767-dc104,chr1n.tar.gz,1,individuals_merge
